151
4 3 2
10 22 9
1 2 341459303 947707372
2 3 410479327 656451126
3 4 947139572 982113044
4 5 816777965 951382498
5 6 651017919 875980600
6 7 273769635 347426278
7 8 44980227 44980227
8 9 7383812 620394586
9 10 920811002 982813271
2 8 442141061 903637417
2 5 17662040 60682210
1 8 895750288 895750288
3 6 990481993 990680912
6 9 246030323 459975779
4 8 618876194 750909418
1 10 311598645 311598645
2 10 832929980 998646637
7 9 186488664 186488664
4 9 283930914 921616394
5 8 954320289 980094136
2 6 532493632 846317682
1 6 179387203 720165127
6 7 4
1 2 764468626 764468626
2 3 85680646 287711513
3 4 560020407 595399020
4 5 399682692 762635869
5 6 748002090 817540216
1 3 311841265 393835492
3 5 950825019 988279945
6 6 4
1 2 132007092 440453767
2 3 995335086 995335086
3 4 450141937 450141937
4 5 330850193 954049860
5 6 496914962 671172257
3 6 515468639 586713142
4 6 2
1 2 297227190 297227190
2 3 929276533 934734672
3 4 526053665 838725992
1 3 525801396 551324890
1 4 872825083 872825083
2 4 960055145 960086493
6 14 3
1 2 386946001 864568880
2 3 399695145 749435678
3 4 657313186 657313186
4 5 96418390 521656284
5 6 138944647 640880334
3 5 371858769 371858769
1 5 912297259 955464045
1 3 472907154 575279307
1 6 34418523 623036551
1 4 419165010 730881042
3 6 719839780 732847849
2 4 437099535 865861509
4 6 44185896 318315291
2 5 633336205 633336205
10 36 2
1 2 667472566 667472566
2 3 755846654 979603139
3 4 978329169 978329169
4 5 893601747 990446999
5 6 518283085 920236077
6 7 86219294 985883489
7 8 582599515 582599515
8 9 668384201 668384201
9 10 526864844 526864844
6 8 268824001 508790599
4 6 919091928 947311582
5 10 858572237 955211187
2 8 550008382 550008382
7 9 638302152 741178939
8 10 867180361 867180361
3 6 607659081 607659081
3 8 153901452 258451153
2 10 406775683 760265192
7 10 312809510 983540810
1 9 854922326 873646926
3 7 11218539 549674819
4 10 820296814 934859410
2 6 594089645 900027210
1 10 449728769 449728769
1 3 294709027 964643610
4 7 996770017 996770017
5 8 234614253 573657160
1 7 55897335 55897335
3 5 63161943 771080057
2 4 209365959 527681651
5 9 679785918 961145266
2 7 490914898 657895084
6 9 38222043 38222043
4 9 650843515 656837928
1 6 866393796 888030402
1 8 133300851 133300851
8 21 7
1 2 99424209 99424209
2 3 906306534 937567108
3 4 470445744 568299923
4 5 262271294 869975024
5 6 607886605 952752474
6 7 910067733 957078038
7 8 392530327 711682633
2 8 322867137 520366042
5 7 599311865 715553641
3 5 680482136 680482136
2 4 425672091 511617386
5 8 740243424 852804573
1 3 96167327 891655385
6 8 798442200 852165367
1 5 440766752 440766752
1 8 344147462 344147462
4 6 750444683 857760752
2 6 664615622 692482587
3 6 849317082 888505255
3 7 982832225 993023327
1 7 863684699 969502894
10 30 4
1 2 278841388 402025021
2 3 933566618 978084393
3 4 945232114 997731211
4 5 588784625 779650039
5 6 41350779 41350779
6 7 119524609 465422758
7 8 124018101 124018101
8 9 370769695 911593660
9 10 53081410 318541521
2 8 369340739 369340739
1 4 169598436 412524796
5 8 111709046 457447844
1 9 244005922 682834848
1 7 684146251 984574277
5 7 109816428 669323209
4 10 231812894 388891926
4 8 963683770 972549791
4 7 27401156 378082108
3 10 249300341 467095303
5 10 491727274 500075328
7 10 229965696 229965696
3 6 147939691 193117027
2 9 567728542 889454866
6 10 357178311 360454811
8 10 843544579 859239169
2 6 107803546 107803546
3 7 741544997 875563715
1 6 646225639 646225639
1 5 132088186 644577560
5 9 252236655 779729807
20 50 2
1 2 233432864 233432864
2 3 515745570 740469621
3 4 235451274 489428815
4 5 632390648 721832011
5 6 765333092 974235447
6 7 958050243 977285942
7 8 212495412 212495412
8 9 454481936 588589123
9 10 680352173 680352173
10 11 929889088 929889088
11 12 837938038 952965607
12 13 695905201 998303316
13 14 82068691 773888976
14 15 116325496 283678722
15 16 854156857 854156857
16 17 784181879 784181879
17 18 235540658 897626534
18 19 675706705 885000907
19 20 996645013 996943993
3 13 337317367 484278184
8 20 306407189 770525979
3 10 704237682 704237682
6 9 594462044 906037310
5 11 696004858 696004858
4 10 617467247 910824537
2 18 360561107 926526560
4 19 39575359 39575359
6 20 662609558 845843213
5 17 70252871 70252871
3 17 520402535 601988943
8 18 435529429 435529429
4 15 920892038 961793312
10 19 983645004 986233084
9 14 155644157 915659650
8 17 287795240 287795240
10 13 593116675 698094436
14 19 772704648 929077057
9 20 602279051 602646739
1 13 749770877 992926683
11 15 764392543 828558657
16 18 338850459 508500660
9 19 791751221 963199095
4 9 79950454 79950454
8 15 90708571 90708571
3 15 492800528 492800528
3 11 447125495 551857527
4 7 158602962 411035488
1 7 621013967 944381202
1 12 47024011 47024011
10 17 561916488 778828213
7 10 5
1 2 681511967 681511967
2 3 242832284 791423894
3 4 884040327 922231671
4 5 493217166 574436447
5 6 978472632 978472632
6 7 229085531 281381807
2 7 140100235 855200052
4 7 249913434 387025090
1 5 137701263 137701263
2 4 89901385 89901385
12 38 7
1 2 375538808 911134015
2 3 412878727 412878727
3 4 426162644 606521207
4 5 738179063 868047997
5 6 759753772 826896032
6 7 405972198 771218576
7 8 426000084 426000084
8 9 382038776 382038776
9 10 575702247 575702247
10 11 481219840 481219840
11 12 168664451 762615461
6 11 702080549 702080549
1 5 353487282 651613334
8 12 524848339 669582103
1 10 449610343 464083840
4 11 446137793 763637023
2 7 563083693 563083693
7 9 539792287 858590878
6 8 480038064 480038064
3 5 227165870 227165870
2 9 888663831 937385431
7 11 42546791 42546791
8 10 985381449 985783873
1 7 838867908 998215126
4 8 305166952 305166952
1 11 243869493 699862665
9 11 451076188 609931896
1 12 547619647 657207759
5 7 185175070 185175070
7 10 509100331 952077118
1 8 272377375 743060572
6 9 116775482 990761675
2 4 251002302 559946909
4 12 92091843 584768832
3 12 524555197 634894010
2 8 892261335 949910546
2 6 308342625 414103400
7 12 169956007 383837889
5 7 3
1 2 454522571 637645674
2 3 273378964 983924624
3 4 583991498 583991498
4 5 292982796 831685107
2 5 556949590 673400179
1 5 664288052 664288052
1 3 964085641 971182481
7 14 5
1 2 201973851 886490905
2 3 818117201 902202728
3 4 446682707 446682707
4 5 338635834 852834604
5 6 973630891 973630891
6 7 823617027 960074572
1 5 967776263 989283099
1 4 110563588 162183147
2 4 27370198 364709382
4 6 298969935 585890070
1 6 750642097 940963991
1 3 161520973 161520973
3 6 10038116 562296968
2 7 423597065 423597065
9 12 8
1 2 767494760 924368374
2 3 531279108 954567726
3 4 698840689 740527628
4 5 22691864 781690028
5 6 198411368 198411368
6 7 977476546 998012330
7 8 755336280 878001721
8 9 273375761 273375761
1 5 490788396 620871094
4 6 413094511 483644220
1 4 596087804 596087804
1 3 492966352 646336082
5 5 4
1 2 121563083 121563083
2 3 533020084 615291540
3 4 333672334 366992298
4 5 769078032 985194701
3 5 441453872 446461271
15 47 7
1 2 792042951 956637949
2 3 870464057 877482748
3 4 630325399 671176457
4 5 1125790 1125790
5 6 316438219 965711543
6 7 535803425 535803425
7 8 922278526 942587792
8 9 302844553 689895885
9 10 634631338 675505457
10 11 297143271 519656377
11 12 709040446 907350726
12 13 100658932 412630106
13 14 414943737 940560154
14 15 579310652 579310652
9 13 629374790 629374790
10 12 861665361 861665361
3 7 976379297 977524406
1 8 527955949 621962050
3 10 198111479 959549375
1 15 98853549 532390825
8 12 246276941 655475408
1 14 748803737 929385967
9 12 68948390 386526183
2 8 419786976 896342023
5 12 501046164 501046164
6 8 298708289 314950558
5 14 659252521 757739957
10 13 878273012 952520277
4 13 655664048 939450863
2 14 224473930 444808846
2 12 904650911 982006873
1 11 965191265 999026555
12 14 776273229 901799432
13 15 216538582 383236017
8 10 917944165 994715778
4 10 668345128 996792357
5 8 594463376 594463376
4 6 51422373 981036398
6 11 603565385 654196185
1 10 594908868 943023600
9 11 372371998 994780459
2 7 608728002 816834748
1 3 4946297 594722031
4 9 520661304 541558332
4 11 185106242 233541278
3 9 612967652 909841198
3 8 634226682 634226682
6 13 4
1 2 162178050 177930048
2 3 539202437 911679626
3 4 532386500 673419762
4 5 541438800 541438800
5 6 871413922 966877039
1 3 9501792 51622986
1 6 805767848 975654270
2 4 239576084 373684635
3 5 926058219 986159750
1 5 155755424 668386448
4 6 437030316 629046381
2 6 351581640 975979135
2 5 437913330 687209508
5 5 2
1 2 109278275 243152893
2 3 141311446 587820907
3 4 901809154 992023888
4 5 378322521 378322521
1 5 422127648 422127648
4 5 3
1 2 743086349 873122199
2 3 189793356 949939203
3 4 37993886 392438787
1 4 932458484 998021111
2 4 700554917 768540952
12 33 8
1 2 659592898 659592898
2 3 439765290 650470922
3 4 410400059 411221425
4 5 123824774 871284152
5 6 235992726 585673562
6 7 591865114 818502519
7 8 78011530 79479002
8 9 707761007 843251106
9 10 121593873 933761572
10 11 132045604 839855522
11 12 16218098 911137546
3 7 706862035 706862035
5 7 471419275 963516901
3 5 400193514 695798322
6 9 581141723 729246528
1 5 323326115 751137256
6 10 535065567 875648607
4 6 143235719 648140893
4 10 846516637 987146307
7 11 242123935 771370804
1 11 254279555 254279555
3 10 659066567 888094449
3 12 852385886 852385886
2 8 844857654 905463164
1 10 636412485 692476592
2 5 53356289 797663810
5 10 452376548 452376548
2 10 201285506 210847872
8 10 351494773 973975727
1 4 611460042 611460042
8 12 666247518 694440387
4 9 662637024 726938549
4 12 612150013 612150013
15 51 5
1 2 829476836 855669229
2 3 581648910 885927828
3 4 572737851 572737851
4 5 729096510 729096510
5 6 264247667 264247667
6 7 436309557 436309557
7 8 999110528 999628533
8 9 757953145 925681057
9 10 227517048 323444462
10 11 494204466 494204466
11 12 91588918 91588918
12 13 1027847 921400900
13 14 58479321 431145135
14 15 287908153 943473388
3 15 888466656 960767515
3 8 383979132 869527969
4 12 549881747 808841315
9 12 671945355 796575369
9 15 977306047 996184944
7 10 145474847 145474847
2 8 910314703 955281902
13 15 529533592 574413928
7 12 979172020 982955314
12 14 661733566 692595842
3 14 254951849 500278302
2 10 654524183 763306292
8 12 345026626 936104228
4 11 658727200 909331493
7 13 559737368 884324165
8 11 224325218 351985668
1 13 841075319 851218325
8 13 583826553 882462449
6 14 335518008 910897488
9 13 903579937 990622384
12 15 953151423 953151423
5 8 936302580 951143957
2 14 218102303 744936015
7 15 617345058 971561023
10 15 157924138 288863121
6 13 22484232 719498425
7 11 194210952 194210952
2 11 658484132 658484132
4 10 958097404 972760218
4 13 715333948 715333948
1 3 102753139 994406789
5 10 357248453 428576843
11 14 909877331 914552923
6 10 273200022 733859868
11 13 773871507 806006106
6 8 476154428 753431193
2 13 773012811 851887971
15 53 4
1 2 402092965 402092965
2 3 815521964 822290820
3 4 474283466 693271602
4 5 619287936 863519712
5 6 843687035 968401313
6 7 352011201 352011201
7 8 703411532 896817631
8 9 308379375 794730889
9 10 299508024 884725788
10 11 994165580 994961833
11 12 401227879 693250663
12 13 300982319 300982319
13 14 736592855 801844061
14 15 400038088 400038088
6 10 485781793 984779989
2 4 427022886 427022886
7 10 264338530 264338530
3 12 578757317 578757317
4 11 221937600 746820209
2 15 712813428 846992033
1 14 362470143 362470143
7 15 478951788 918353906
3 8 203155398 296272981
9 11 88035738 88035738
8 12 926632597 989846777
2 13 393444501 621393712
9 15 715521582 715521582
2 9 853883354 927201847
9 14 524274310 731176510
11 15 659086041 659086041
8 13 106963703 956259224
1 9 192598707 274414586
4 13 950590545 962942552
4 8 856690229 941187271
2 6 638499517 820859739
5 9 195238362 353778437
1 10 83009423 281819049
8 11 121779172 314065185
1 15 477312588 477312588
3 5 18052586 777970363
10 14 124127256 124127256
2 10 143488692 263391860
1 4 557777458 756535722
6 13 837436814 964042405
11 13 944842453 952517086
4 9 308036259 655530554
1 11 176528396 871722184
6 9 141320753 141320753
3 11 464203618 479988747
5 7 107157846 173278778
12 14 50735742 727011955
2 8 836416106 940955292
1 3 872620541 912124113
7 11 2
1 2 352026395 352026395
2 3 138217861 142983170
3 4 744353423 950616922
4 5 451193733 451193733
5 6 886737871 907473774
6 7 664016691 664016691
1 3 547211429 547211429
2 7 717314078 836127102
1 5 497886853 842453248
2 4 847880226 983202993
1 6 675953508 956666372
12 31 2
1 2 428204875 959447807
2 3 301459130 301459130
3 4 487807900 635102858
4 5 466938389 466938389
5 6 796161358 838130167
6 7 700560240 770660780
7 8 583000166 683633778
8 9 427498820 554372253
9 10 675243451 834397023
10 11 812359562 812359562
11 12 494255255 947696765
1 4 821233832 825114362
2 11 815672811 819725208
6 12 751339389 832138872
2 9 829438593 829438593
2 6 123107162 613959674
6 10 747070667 747070667
1 8 270061338 270061338
1 6 295815627 588874897
9 12 497014524 558857018
7 12 398961587 562069045
4 8 496246502 664202754
8 12 880433944 880433944
1 5 608085622 608085622
5 11 541242131 686907914
1 11 271328765 271328765
3 7 986974311 999810782
5 7 227284626 551685714
3 5 824351382 985575868
3 11 814621290 890888367
1 12 279782203 279782203
7 7 4
1 2 959495202 978409840
2 3 717503231 906657899
3 4 774942845 842921481
4 5 487734287 659227626
5 6 470129244 470129244
6 7 901082433 934540341
4 6 337935230 599773590
6 7 2
1 2 337139167 337139167
2 3 902781953 911085211
3 4 60330229 418481999
4 5 16917205 947788983
5 6 292762810 413138328
1 6 383101359 606459655
2 6 117610492 967936924
7 15 2
1 2 816072720 816072720
2 3 685445719 944996784
3 4 511686719 511686719
4 5 325705177 636467014
5 6 369721628 597988002
6 7 487042350 487042350
1 6 231153971 811026443
2 7 677959503 677959503
1 5 409119791 784567864
3 5 728320726 728320726
1 7 863336524 863336524
2 4 445183501 632003162
3 6 620414890 620414890
4 6 167338703 377839009
3 7 657994489 692408201
9 20 8
1 2 281426413 281426413
2 3 191496157 191496157
3 4 676910338 733020183
4 5 82622418 86843370
5 6 122970578 397521744
6 7 784881300 938013499
7 8 516261556 994325842
8 9 753271 753271
5 7 274326065 274326065
5 9 54566884 961347563
1 5 555532869 979181444
4 8 4810003 282368934
6 8 349392683 513643246
2 7 196248534 457825238
1 7 429264794 663821982
3 6 212368547 683730120
2 9 482475446 482475446
2 6 430142281 684616133
1 3 391729123 416284045
6 9 973783820 998178249
20 76 12
1 2 952844667 977768314
2 3 933914603 933914603
3 4 294337668 648292300
4 5 66841071 178824245
5 6 350504216 851952718
6 7 388629845 530320685
7 8 11105699 11105699
8 9 859341283 919290695
9 10 695684953 744671464
10 11 216992438 420335425
11 12 181078271 181078271
12 13 630675120 630675120
13 14 173211461 173211461
14 15 871429555 871429555
15 16 331050625 692039678
16 17 726708787 873213043
17 18 404533609 894509441
18 19 765040405 765040405
19 20 541117334 731880662
14 19 101639627 841519529
6 19 622464584 998184611
2 16 884065656 884065656
11 15 19626764 19626764
8 15 867090085 919939143
4 15 936788290 936788290
4 19 672404707 883657263
1 17 53752200 53752200
2 19 47388678 156830018
11 16 150834270 227942785
1 5 911214166 929142704
9 18 147572657 829030642
10 12 147614287 147614287
1 7 510937856 510937856
3 7 719832673 783303599
1 20 236213190 236213190
2 11 435051344 555344939
10 13 347792568 411541770
8 18 771924605 874341866
12 20 260015378 961948998
16 20 229243884 229243884
9 20 970463099 970463099
4 18 777330976 777330976
9 13 567215218 867398595
14 20 614448659 713970412
7 12 766838477 789731036
4 14 597538409 697233026
15 19 891415262 891415262
7 10 178794964 879486107
8 12 151005353 166522726
18 20 933313742 933313742
5 7 143844196 156217380
8 13 994433028 995663680
5 16 95920703 638924716
12 14 734536219 734536219
7 13 469039976 740266885
11 19 599994396 919170568
7 20 950042427 951356880
5 15 441468771 441468771
2 4 532815238 954998326
15 20 80471046 80471046
2 15 651772 880493857
2 20 777222336 952715453
1 11 485284224 871424559
1 10 718158953 930220708
2 14 286955329 286955329
9 19 115589381 616922943
2 9 671136383 791726070
17 20 685145911 869740941
12 17 233058674 716910472
8 17 972048300 986922396
13 17 550667499 908796422
3 15 140645585 706431584
2 10 62994496 687047347
3 18 977295078 977295078
6 8 575429745 786902466
5 18 255493136 481775282
6 10 5
1 2 998153229 999183910
2 3 372804971 372804971
3 4 39597000 970846031
4 5 278605655 387674788
5 6 209384468 959011269
2 6 963810328 979242719
3 6 629119621 741031734
1 5 236074918 645427311
1 4 883074851 887005975
3 5 112315944 600919348
15 29 6
1 2 192281391 192281391
2 3 462142455 476922857
3 4 488124529 540953723
4 5 49396274 452376425
5 6 895218562 985829952
6 7 390807537 893057135
7 8 327864500 898469913
8 9 817540739 817540739
9 10 807715928 930025667
10 11 809069425 821181955
11 12 877645661 894651376
12 13 897314507 897314507
13 14 401309216 401309216
14 15 43073128 762417654
5 10 481595323 481595323
1 10 535636782 949346091
5 12 107504806 593031880
8 10 296082549 498912751
1 14 588406350 650956358
7 12 363056746 868134396
2 12 101098665 101098665
4 14 21734924 981676074
2 11 611332407 971719225
11 15 171847828 336224820
8 12 940494119 956493671
1 15 646833984 978601180
4 13 645963894 769704251
5 9 490845344 490845344
4 15 703184949 913715638
8 18 3
1 2 1447285 438015362
2 3 976358345 983062984
3 4 83156959 522757607
4 5 6755059 761951506
5 6 462484899 888219541
6 7 245704640 245704640
7 8 577906360 637682351
3 5 860140914 893331711
2 6 899521401 942076188
4 7 985865637 995242316
2 8 49743638 964954416
2 7 632127557 905678940
4 8 84810797 391766601
1 3 559254778 947941190
6 8 629007294 629007294
3 7 970030292 978707525
2 4 153849916 153849916
2 5 800082361 945127061
12 28 9
1 2 693305498 868821359
2 3 407406498 924231332
3 4 589814585 790317686
4 5 859105229 872764288
5 6 948476029 968064956
6 7 690976194 690976194
7 8 411767208 857497477
8 9 549114504 549114504
9 10 763682357 845326323
10 11 498315793 498315793
11 12 70642594 439015389
7 9 765424807 885551239
8 12 439916832 439916832
1 5 11537579 747565451
5 7 74158443 833544086
4 8 672200737 774555505
6 12 189881828 298395533
2 8 898760409 968009983
8 11 176805048 444639555
1 8 480495555 756161409
3 12 736054780 963628545
2 11 12522232 543488019
6 9 569191952 637112050
9 12 167407174 167407174
1 12 913750499 913750499
5 10 231178576 579004543
1 10 291158507 320076630
2 7 647013750 647013750
12 31 7
1 2 197228342 197228342
2 3 186871471 333594709
3 4 41498027 803953065
4 5 132163669 747608680
5 6 430250656 452426272
6 7 413360192 808551888
7 8 564656672 727456702
8 9 464568674 598826846
9 10 189807126 602764967
10 11 409546014 825206610
11 12 984726511 984726511
4 8 769482902 905663718
5 10 726610139 962805185
3 11 474769157 648900241
5 7 746340136 968947345
4 6 514685443 514685443
3 12 522116840 586895902
2 9 328590782 603749361
1 6 534539505 749263054
1 12 37082109 602346199
5 8 672714303 868330492
1 11 703533807 715618732
3 9 785008662 949924753
1 4 651825900 885177272
2 4 408026400 793161881
7 9 696533421 696533421
8 11 237747595 543098677
2 12 991914517 995898910
1 5 117726367 133135463
3 8 258110990 554919457
2 7 760235809 819803115
8 22 2
1 2 886293729 886293729
2 3 331051680 437298782
3 4 456086006 456086006
4 5 124746726 710108500
5 6 94343547 94343547
6 7 560221986 882688923
7 8 828203165 828203165
1 3 770196722 770196722
1 6 769546409 938489832
2 8 799347376 815890618
2 7 563134515 563134515
6 8 827570696 827570696
4 7 155652396 554986655
3 5 730636057 730636057
3 6 830192250 830192250
1 8 288243652 288243652
5 8 593106556 837739110
2 5 685721239 759308828
5 7 509140941 826150547
2 6 362033459 667457699
1 4 772245107 772245107
2 4 677996074 904800956
6 8 4
1 2 988440564 992520643
2 3 739544921 968974034
3 4 346598685 346598685
4 5 797550344 797550344
5 6 997298052 997298052
2 4 230917636 289016153
4 6 208053337 208053337
1 6 895649472 980206248
4 5 2
1 2 382397801 520605833
2 3 943635002 983966471
3 4 310253397 310253397
2 4 132764718 132764718
1 4 333875634 916202744
9 23 4
1 2 915213726 957086726
2 3 502996762 810677684
3 4 178603764 406744590
4 5 600224097 634664983
5 6 133466705 169060927
6 7 806095537 806095537
7 8 164249328 835123033
8 9 454903318 554406386
2 6 993969288 993969288
3 7 152227609 857720024
4 9 995214158 997453569
5 7 311459846 311459846
1 7 716927116 745696863
4 8 24748939 24748939
4 6 299161760 406893311
5 9 684895885 684895885
3 6 880563634 880563634
6 8 504447799 950653218
1 8 572670477 833922433
1 5 517914216 517914216
1 4 882306846 987778900
7 9 27363859 27363859
1 6 474305411 860364429
12 46 3
1 2 451794481 451794481
2 3 486643240 890420142
3 4 902017017 989022109
4 5 288428861 682376730
5 6 25644725 620348898
6 7 526912140 596062160
7 8 170218685 795784501
8 9 620442616 657733686
9 10 135730911 682484927
10 11 83532569 294796206
11 12 907420331 955004833
1 5 541560554 541560554
4 7 830722074 970035457
5 10 216156483 907393034
7 10 282980793 282980793
5 9 565736202 680502188
2 10 752625083 752625083
3 7 748739221 983525476
1 4 946379081 957790640
3 9 888940639 898112338
9 12 553681902 553681902
8 10 79385866 449487642
6 9 550672270 612304693
7 9 640515840 640515840
6 8 140397705 196028477
1 10 138501061 442921907
3 5 532507836 752395964
4 10 659158291 759836391
1 12 600009698 617308901
8 12 918988722 966010464
3 10 288630117 618920524
5 12 664054723 664054723
6 10 932472108 932472108
4 9 657791558 832074746
5 11 366101050 871976901
8 11 103458581 544677635
6 11 53385869 69695287
2 8 716147893 716147893
2 11 689001301 689001301
1 6 843519499 858138770
3 12 375556258 436754884
3 8 74378069 74378069
4 8 903141774 961171055
1 8 109905002 538448189
2 12 894689360 894689360
4 11 520340995 722149176
9 30 4
1 2 108822632 918142274
2 3 910953344 931413425
3 4 760258090 807008767
4 5 812118106 996344601
5 6 486914949 650313475
6 7 486264702 879208821
7 8 712503118 916340438
8 9 653010697 830304122
4 7 905209797 905209797
1 7 189300600 189300600
4 9 677536659 833921561
6 8 873164639 917042933
1 8 256370323 581043139
2 6 7059047 705340404
2 8 182237067 221500514
2 9 133044805 133044805
1 9 921627186 924825907
3 9 692914382 859438370
1 3 834886567 857904675
7 9 202263414 435351658
3 8 468337421 471259179
4 8 505170762 505170762
3 7 654192438 913969507
4 6 541481162 541481162
5 9 692643973 977112167
1 6 742351409 981522259
3 6 711923975 807302748
1 4 72889768 342827095
3 5 848708769 933347677
6 9 51314977 845795130
15 49 10
1 2 103590262 103590262
2 3 942684393 942717431
3 4 233834051 599540441
4 5 898784087 911821115
5 6 209814258 723767349
6 7 791183865 949674966
7 8 946739997 950308436
8 9 17059423 17059423
9 10 5331983 758684825
10 11 98749300 98749300
11 12 446253403 446253403
12 13 219295076 247362109
13 14 514872805 995843044
14 15 33360286 33360286
6 8 554616048 554616048
10 14 417357203 700118631
2 11 767987727 941242840
9 12 962201552 989412106
7 14 873709174 908875591
11 15 96123948 949814918
5 8 479667077 785204007
4 8 256679899 893220403
4 11 269972447 313401340
8 12 801643838 801643838
6 11 906679019 993397504
3 8 984553524 991053850
5 14 778692133 955061584
10 15 717386289 717386289
1 11 723790817 991040288
11 13 671221546 713709279
2 5 979786554 979786554
