200000 131016
B 84937 157329
B 1 25629
A 12259 30813
A 197689 105369
A 89365 184135
A 164278 10530
A 128845 198205
A 75122 194135
B 139640 139641
A 167439 190743
B 7195 7196
B 77562 77563
A 149299 33647
B 54235 168983
A 75546 75547
B 20234 136700
B 84962 192514
A 82255 142359
B 82495 26425
A 194587 194588
B 90999 195343
A 171112 171113
B 1 162870
A 37667 6832
B 61365 61366
A 144837 144838
A 26635 26636
A 176819 176820
A 190032 129167
B 135042 135043
B 180719 180720
A 123015 172039
A 103562 166944
B 1 36468
B 49890 8971
B 138048 138049
A 155935 179240
A 109340 109341
B 86913 86914
A 67462 85515
A 177923 163709
A 1 75414
A 56845 56846
B 101907 101908
B 117604 101548
A 133381 133382
B 1 153358
B 15658 15659
A 146853 146854
B 141535 71658
B 47015 47016
B 127795 127796
A 110278 110279
A 47375 178024
B 1 166807
A 138321 138322
A 180320 180321
B 119398 119399
A 200000 16466
A 1 87876
B 4657 140780
B 1 157388
B 40230 40231
B 124514 124515
B 1 18446
A 16376 126234
B 136123 129706
B 39043 39044
A 104052 104053
A 200000 187234
A 31547 31548
B 111983 111984
B 122463 20131
A 41074 41075
B 21502 21503
A 200000 146833
B 179104 179105
B 171141 171142
A 143859 132573
B 200000 135326
B 1 55054
A 128484 128485
A 30660 122120
B 1 54655
B 192263 192264
A 1 3
A 22273 22274
A 111009 111010
B 111911 140614
B 1 103839
B 125826 88621
B 75109 88806
A 118950 118951
A 198528 146173
B 200000 400
A 200000 94760
A 96016 149167
A 59983 59984
B 21519 21520
B 27892 27893
A 103950 33592
B 114932 35967
A 97738 97739
B 183895 115561
B 133220 164652
B 125657 143947
A 6517 182178
A 86596 86597
A 112914 192411
B 200000 25137
B 7790 158712
B 130427 23340
A 126270 126271
A 158450 8023
B 128351 121191
B 97952 97953
A 1 288
B 58335 148514
A 133599 133600
B 44030 44031
B 172871 172872
A 159458 133719
B 89530 89531
B 188925 184150
A 118045 145084
A 163806 163807
B 56111 56112
B 66062 66063
B 85170 85171
B 172196 105744
B 75670 75671
B 3098 150483
B 119293 119294
B 109107 152518
B 1 188588
A 79709 147327
A 40367 40368
A 176625 176626
B 1 1607
A 93419 135727
A 150814 181057
B 143499 109200
A 121425 160819
A 187585 187586
B 192367 143144
B 1 177289
B 121573 168778
A 18686 101297
B 47823 47824
A 22011 22012
A 24100 24101
B 77696 137846
A 1 119663
A 86114 86115
A 52370 135441
B 3079 110305
A 136095 136096
A 1 169403
A 176781 176782
B 200000 106175
B 1 80398
B 200000 25296
A 1 33217
B 145795 40012
B 95013 95014
B 27576 86324
B 125864 169445
B 200000 39090
A 69864 188938
A 65547 65548
A 22146 22147
A 200000 50236
B 75639 75640
A 185923 156827
A 26808 10333
B 194949 194950
B 4229 7161
B 140982 140983
B 158788 109999
A 169129 101363
B 200000 111704
B 1 146910
A 118070 138685
B 177187 177188
B 73034 184438
B 107625 19248
A 200000 9988
A 123185 122851
A 64093 107664
A 1 72741
A 1 15585
A 67020 67021
B 2 199999
A 200000 77091
B 37540 37541
B 126501 162305
B 105163 105164
A 200000 167100
B 1 173779
B 120483 22505
B 62988 62989
A 178701 178702
A 154312 80529
A 9164 9165
A 1 127326
B 185225 185226
B 193157 182117
A 178602 178603
A 193528 77196
B 119137 119138
A 184591 192593
B 29314 29315
A 186253 186254
A 2588 45894
A 1 165980
A 1 78897
A 163109 36375
B 94003 76495
B 37679 37680
A 111326 189260
A 120177 110695
B 1 35855
A 1 92966
B 11206 11207
B 49843 118597
B 149290 149291
B 28554 125481
B 1 136499
B 192697 77163
B 150737 20090
A 176441 94113
A 48212 104101
B 31122 108424
A 1 60229
A 194642 194643
B 200000 77715
B 1 41993
A 156459 156460
A 40145 40146
A 1 167761
A 1 94052
B 176958 176959
A 90305 90306
B 20105 20106
A 1 124380
A 72106 72107
B 45410 45411
B 185197 112109
B 131862 10048
B 200000 166768
B 163550 163551
A 200000 175769
B 200000 190748
B 1 80664
B 70545 70546
B 1 28506
A 78179 171231
B 21441 21442
A 131006 131007
A 68014 108484
B 135687 135688
A 73712 67142
A 41883 41884
A 112754 112755
A 200000 147476
B 116409 154533
B 200000 96043
A 2 3
B 80050 80051
B 83593 60173
A 76055 76056
A 14686 37739
A 77044 77045
B 15433 15434
B 57481 145627
B 12219 141847
B 163530 163531
A 181543 41705
B 126396 180063
A 168481 168482
B 159236 123877
B 71264 36236
A 72857 72858
B 158090 158091
A 1 153886
A 92663 92664
A 91893 98892
A 96783 47020
A 126613 126614
B 107933 107934
A 141354 128865
A 122925 194257
B 105086 105087
A 136736 169121
A 200000 115276
B 142448 33539
B 191427 191428
B 200000 119391
B 200000 174102
B 63709 10542
A 98336 79693
B 175014 175015
A 12321 163518
B 146669 146670
A 66838 66839
A 135531 151393
A 188988 188989
A 67400 67401
A 27347 162258
A 141797 1553
B 123317 147608
A 187742 12217
B 6557 53409
A 6997 6998
B 24854 95527
B 177033 177034
B 140738 140739
A 93685 93686
B 13968 44341
B 83985 83986
A 65602 65603
A 67085 152828
A 28913 28914
A 200000 177407
A 1 40483
B 93511 93512
B 11827 11828
A 171475 171476
A 54612 54613
B 15586 182729
A 158054 132555
B 18441 129911
A 31244 38006
B 142952 141297
B 78200 78201
A 72745 72746
A 127500 127501
B 8795 8796
A 200000 53899
B 18164 18165
B 134539 142617
A 172188 198537
A 99331 172061
A 10616 10617
B 45510 125433
B 70007 4444
B 91002 91003
A 109758 59868
B 7728 105213
B 87503 87504
A 200000 65038
B 141765 187672
B 66309 66310
A 118159 68047
A 131893 125667
A 200000 30171
A 42336 87192
A 200000 71815
B 190277 21626
A 49319 126190
A 10081 160212
B 153188 153189
A 195726 195727
A 1 193821
A 97610 97611
B 153050 163175
A 149135 149136
B 19820 145440
A 139695 109877
A 178359 178360
B 4527 4528
A 15583 133193
B 49960 49961
A 38014 28133
B 50063 52455
A 1 98082
B 70579 70580
A 71673 71674
B 128815 128816
A 1 44700
B 126576 151938
B 47879 47880
B 69224 83569
B 117774 61295
B 30462 143486
B 172045 172046
B 1 200000
A 39671 39672
B 200000 183481
A 200000 180333
B 200000 172296
A 200000 157296
B 74739 163451
B 1 20604
B 65127 65128
A 25932 25933
B 124759 64051
A 3 199999
B 1 194487
A 200000 128288
B 167223 167224
B 46891 46892
A 50225 50226
B 36096 36097
A 88808 176530
A 200000 85944
B 130609 130610
A 86887 30053
A 49385 114849
A 149197 149198
A 162985 99801
A 1 199999
A 174784 48226
B 92905 61343
A 158530 71518
A 72628 150352
B 190351 33143
A 151374 151375
B 112924 194921
A 156182 12716
B 174245 130268
B 68966 88913
B 3 199999
B 84077 84078
A 27471 151401
A 96837 101870
B 96963 96964
A 88307 88308
B 200000 144700
B 200000 104995
A 200000 97523
B 41435 131422
B 1 136417
B 1 130823
A 120724 120725
B 200000 81299
A 60939 64143
A 196499 48446
A 73117 73118
B 72306 72307
A 1 141307
A 52898 173866
A 196181 65007
A 2 200000
A 89640 89641
B 76365 76366
A 91878 83672
B 70800 70801
A 29357 29358
A 54674 54675
A 66326 66327
A 146834 30632
A 129806 50597
A 114470 114471
A 131030 167827
A 59840 59841
A 26420 26421
A 66683 66684
A 159197 180007
A 156727 119697
B 143647 188647
B 120249 120250
B 125927 90115
B 44427 123166
A 64357 64358
B 200000 89777
B 200000 173204
A 195378 135358
A 98463 98464
B 117386 105912
B 94694 94695
A 19437 176158
B 30380 35739
B 109859 109860
B 15019 15020
A 138896 84241
A 68534 178187
B 42535 42536
B 25012 25013
B 61680 61681
B 1 81472
A 79151 79152
A 189363 199236
B 200000 61819
A 76566 65486
B 108213 140311
A 73114 73115
A 44690 44691
B 169191 104241
A 188104 99925
B 96462 163171
A 200000 81445
B 1 199224
A 3 199999
A 65764 65765
B 199789 143178
B 25049 38040
B 21642 21643
B 68323 68324
A 120207 120208
A 200000 77289
A 189805 41118
B 97429 97430
A 50465 102820
A 167650 77233
A 34946 34947
A 19025 26211
B 53349 48454
A 72212 170675
A 154397 154398
B 1 71075
B 200000 99253
A 200000 148087
B 190598 44701
B 63052 63053
A 11909 134389
B 12551 12552
A 200000 77648
B 199040 117507
A 70917 70918
B 150788 144371
A 1 109090
B 147820 5534
B 118446 22218
B 1 51678
B 124988 174349
A 20161 20162
A 118028 51881
B 131068 131069
A 49695 49696
B 150478 16497
B 68727 166743
A 159034 159035
A 1 13100
A 99798 103262
A 153294 153295
B 1 17101
B 63284 63285
B 187120 104014
A 1 34288
A 86826 6164
A 103371 110902
A 99842 42905
B 184888 78520
A 200000 15777
B 193779 15801
B 171577 164981
A 83224 163678
A 10333 135284
B 106883 106884
A 168900 168901
B 191054 60547
B 1 88210
A 200000 110215
B 1 73244
A 10079 131193
B 161041 161042
A 97538 27011
B 1 200000
A 153143 153144
B 1 82584
A 79958 159728
A 296 297
B 49257 35063
B 61859 61860
A 46378 46379
A 17690 17691
A 200000 112492
B 107587 107588
A 164969 164970
B 132529 132530
B 200000 21437
A 200000 12784
B 62721 161139
A 63827 63828
B 196677 150353
A 117391 169690
B 10956 10957
B 1 109121
B 1 67570
B 2 200000
A 145812 145813
B 82216 104917
A 194991 194992
B 200000 144957
B 200000 91976
B 200000 135962
B 200000 91957
A 1 116510
B 86043 151673
A 181974 181975
B 1 14360
B 1 135943
A 106380 106381
A 1 32460
A 1 83107
A 159427 159428
B 1 66787
B 196475 31146
A 149930 175317
B 26175 26176
B 93193 157356
A 75624 75625
A 130683 5840
B 167281 35056
B 159245 159246
A 38783 38784
B 87005 87006
B 183543 67091
B 1 170643
A 35157 35158
A 166115 166116
B 1 42114
B 70046 70047
B 1 125587
A 151258 151259
A 75060 75061
A 185655 185656
B 1 58690
B 195120 162881
B 60491 60492
B 70510 70511
A 156210 156211
B 200000 161373
A 36111 36112
B 200000 100946
A 62930 155134
A 7080 30476
A 61958 44374
A 25096 43558
B 131973 131974
B 110952 110953
B 173704 173705
A 150778 133257
A 67347 22814
A 167806 167807
B 183250 183251
B 163808 46627
B 101294 101295
B 129538 129539
A 32186 32187
B 84583 37611
B 200000 161453
A 117880 117881
A 21143 187865
A 200000 62304
B 17667 142364
B 200000 23308
A 173393 145260
A 162081 2062
B 124965 124966
B 92828 31563
B 103485 103486
B 200000 178627
A 133240 51170
A 32108 32109
B 89364 89365
B 1 18531
B 170294 180415
A 88129 194808
B 71707 139964
B 115861 147392
B 40241 40242
B 166034 166035
B 200000 34466
A 200000 126613
B 7944 7945
B 142669 142670
B 172168 141545
A 31069 14117
A 200000 18906
A 1 200000
B 177150 177151
A 152956 115988
B 65355 65356
A 96011 96012
B 99966 129445
A 149998 149999
B 116899 146107
A 11676 197014
B 121445 121446
B 149057 134989
A 180429 88637
A 2 199999
B 46176 156196
B 64745 15081
B 170131 170132
A 395 396
B 200000 117267
A 19850 80281
B 200000 22785
B 1 160560
B 1 149207
B 22856 22857
B 50564 95120
B 111697 111698
B 80342 136766
A 1 182513
B 101342 101343
A 8641 8642
A 34496 34497
B 69210 69211
A 98851 87422
A 115649 115650
A 77908 98456
B 178575 60900
B 125754 125755
B 187702 177169
B 60532 60533
A 1 83147
A 176634 20444
B 76170 76171
A 58962 58963
A 22549 22550
B 3939 155776
B 74587 74588
B 200000 191152
A 1 161034
B 141592 2686
A 200000 32579
B 183210 22288
A 157849 157850
A 46168 63504
A 182565 182566
A 128989 128990
A 13298 13299
A 156261 156039
A 200000 78288
A 81611 28935
B 30151 30152
A 81021 81022
A 89154 89155
B 176698 176699
B 33648 33649
B 134633 134634
B 145631 132184
A 5567 27748
B 3623 197289
A 200000 72557
A 17809 42206
B 59249 59250
A 95928 26961
A 157925 169338
B 1 84791
B 8839 33366
A 89591 54384
A 7397 7398
A 157510 157511
B 54705 54706
A 10332 10333
A 2839 2840
B 1826 50611
B 152428 152429
B 188997 119110
B 125322 125323
B 190838 190839
B 99298 122114
B 200000 2379
B 55437 55438
A 22791 72546
B 173590 105651
A 178193 178194
B 1 23076
B 65262 65263
A 200000 130069
A 153113 101815
B 1 8126
B 43404 43405
A 166177 165447
A 83704 83705
B 200000 149499
B 112151 183630
B 146801 135599
B 189084 189085
B 193419 114579
B 105998 105999
A 1 161226
A 165169 154544
A 178990 76955
B 130532 130533
A 156850 90043
B 173028 189727
B 82940 82941
A 95866 95867
B 185927 185928
A 49506 146669
A 104058 34180
B 58967 58968
A 155983 155984
A 90718 90719
B 199999 200000
A 85904 38131
B 166555 95607
A 90019 90020
B 2959 2960
B 73391 73392
A 200000 151492
B 200000 143586
A 118527 126844
A 121414 121415
A 21245 136073
A 1 159116
A 1 51730
B 180430 97031
B 70979 97216
A 54522 166317
A 168014 168015
B 80156 80157
A 52274 46156
B 198383 182177
A 66699 66700
A 88230 173298
A 80510 19740
A 77237 174744
A 37389 119088
B 54724 67289
A 190144 190145
B 139212 139213
B 63557 63558
A 187259 187260
A 32288 32289
A 3131 3132
A 1 47550
B 19399 19400
B 193826 131348
A 10880 10881
A 25334 70440
A 68787 31910
A 161122 161123
A 200000 32438
A 178530 178531
A 44035 120981
B 1 99992
B 200000 152683
A 127161 127162
A 200000 34598
A 200000 129712
A 199999 200000
B 63388 63389
A 24496 24497
B 139482 3459
B 1 31749
B 104813 104814
B 64642 10732
B 49121 49122
A 142009 142010
B 149768 31942
B 30172 30173
A 200000 134017
B 100521 188777
A 19626 186390
B 160007 160008
B 194051 125615
B 182531 71896
A 30765 95581
B 97444 97445
A 128485 186093
A 34679 34680
B 187695 96357
A 17166 41262
A 200000 25133
B 105207 27948
B 1406 1407
A 105383 129541
B 33353 33354
B 1 40196
A 13392 94674
B 70887 70888
B 200000 114191
B 154772 184999
B 89531 107910
A 157432 157433
B 195045 195046
A 119192 59403
A 114988 114989
A 135415 135416
B 200000 92549
B 31447 48292
B 149651 142392
A 200000 143017
B 200000 175595
B 130057 130058
A 55040 78983
A 128405 180187
A 200000 69978
A 12786 12787
B 101968 144785
B 112299 112300
B 29848 29849
B 1 199526
B 36245 133096
B 101116 101117
A 104857 178844
B 130338 130339
A 154061 166630
B 72653 72654
B 71270 23916
B 185456 185457
B 154669 154670
B 104599 41451
A 1 23287
A 200000 118320
A 35585 35586
A 89906 89907
B 33735 33736
B 58645 39342
B 60836 60837
B 45576 45577
A 1 64463
B 117736 117737
A 200000 36985
B 149875 89885
B 200000 899
A 32726 32727
B 200000 109198
A 84287 52376
A 1 103120
B 1 40722
A 58454 58455
B 11251 45800
A 65257 170232
B 1 71021
A 184446 92985
B 200000 118416
A 112267 112268
B 21436 10900
B 62822 64823
B 64997 64998
B 40027 76443
B 200000 71091
B 18505 180069
B 136211 79359
A 122627 122628
B 172182 149835
B 47826 47827
A 1 53334
A 30689 116434
A 115760 115761
A 102851 102852
B 200000 154704
B 25751 23086
B 146853 146854
B 1 146422
B 9575 9576
A 23823 23824
A 26823 26824
A 67182 67183
B 167044 167045
A 41792 41793
A 8138 8139
A 104067 104068
A 148915 114117
B 200000 107780
A 73523 45359
B 102559 4387
A 182767 182768
B 49322 199514
A 17981 17982
A 45921 180289
B 88633 183550
B 1 59205
A 1 11505
A 80380 80381
B 1 152837
A 34900 34901
B 159252 159253
B 2 200000
A 44924 138286
B 38470 157164
A 106873 112759
A 56255 153451
B 116791 116792
B 132656 178012
B 68329 68330
A 1 165761
A 200000 119667
A 168354 168355
A 143204 143205
B 40780 40781
B 1 30825
A 77661 89404
A 82710 161329
A 1 24089
B 1 75681
A 175084 42415
B 128602 128603
A 33519 21936
A 1 89346
A 176891 59936
B 149339 165127
A 81664 126486
A 100068 148276
B 95902 95903
A 1 172942
B 38869 160948
A 71548 48117
A 155242 155243
B 141646 141647
A 13046 110949
A 189270 48766
B 1 73107
A 1 91832
B 200000 117735
B 95858 111155
B 200000 71405
A 143758 29469
B 39626 164341
A 200000 73975
A 167583 167584
B 200000 165646
A 185020 185021
A 26142 26143
B 1 147964
B 181666 162467
B 184431 79056
A 53353 160970
B 200000 7869
A 73703 191301
B 109333 109334
B 131428 131429
A 200000 148928
A 182045 182046
A 141909 141910
B 116037 116038
B 3 199999
B 200000 177714
B 200000 187738
B 127497 96567
B 14072 14073
A 195547 85481
A 84740 5363
B 130462 27562
B 61950 61951
A 149049 177442
A 120292 140290
A 1 125166
A 200000 5247
A 180782 180783
A 1 16053
B 120791 120792
B 101477 154452
B 94034 128367
B 199997 199998
B 1 167257
A 188789 188790
B 18815 18816
B 134934 82240
A 164800 42679
B 179417 184465
B 8792 8793
B 84510 84511
A 2 3
B 71179 146044
B 75879 75880
B 1 172581
B 71602 71603
B 200000 137565
A 1 20009
A 157136 157137
B 119851 119852
B 84353 84354
B 118217 118218
B 33648 33649
A 180216 180217
A 31845 31846
B 73930 73931
A 62247 62248
B 125031 125032
B 77056 77057
B 184763 184764
B 158546 82603
B 171445 141005
B 144672 144673
A 133468 133469
B 175233 116427
A 12427 146280
A 49730 49731
B 140801 140802
A 164598 153839
A 191069 191070
B 128619 123122
B 153867 66963
B 39945 39946
A 88333 88334
A 59153 59154
A 166099 63166
A 93473 93474
B 200000 132441
A 1 180263
A 200000 36484
A 137120 187144
B 105065 105066
B 86279 100230
A 49980 49981
B 200000 9597
A 114555 180518
A 87844 87845
A 81866 81867
B 42083 52887
B 93251 93252
B 171013 155279
A 3 200000
A 99361 99362
A 200000 4598
A 119753 119754
B 200000 195000
A 181258 181259
B 164699 164700
B 19999 2186
B 27877 5696
B 85049 85050
A 32561 29347
A 1 161741
B 1 142425
A 7624 7625
B 138658 138659
A 29077 32931
B 16502 16503
A 36286 72245
A 1 83119
B 111066 111067
A 9221 9222
A 62279 62280
A 3764 3765
A 82459 126017
B 96903 11058
B 84546 84547
A 155682 119353
A 108851 153400
A 200000 91894
A 200000 197302
A 89376 153827
A 2345 142591
B 1 38591
B 200000 113153
A 16679 16680
B 200000 122483
B 140849 74717
B 104022 89547
A 78468 78469
A 148417 116694
B 53601 96807
B 58926 184378
A 161626 161627
B 127678 127679
B 110477 110478
B 200000 121004
B 63060 63061
A 101371 101372
B 734 176869
A 115364 20580
B 68622 143370
B 196076 196077
A 165433 165434
A 73586 100865
B 185847 185848
A 86915 179718
B 141586 141587
A 198032 198033
A 53262 75456
A 62327 172958
B 188429 188430
A 95366 95367
A 96550 96551
A 80897 97449
A 1 119229
B 17698 17699
B 166868 40434
A 144376 144377
B 1 2175
B 1 103038
A 106648 162458
B 118987 30612
A 44751 44752
A 54504 54505
B 178336 178337
B 96376 96377
A 74198 74199
A 200000 73806
B 200000 21053
B 25168 25169
B 56417 56418
B 174977 97097
B 175338 175339
B 180846 100062
B 77198 156789
B 40954 76927
B 13301 13302
A 109896 110901
A 51522 51523
A 163018 60741
B 64411 185902
A 83628 4372
A 94790 94791
A 1 53396
B 41443 10222
A 32515 196624
A 1 86165
B 2306 148311
A 174231 81165
A 78314 74064
B 155653 160482
B 200000 1545
A 186511 186512
B 1 148202
A 164041 164042
A 60544 60545
A 200000 55431
B 147635 147636
B 30262 30263
B 2 3
B 132966 132967
A 2708 2709
A 86089 86090
B 129377 45098
B 118331 13587
A 124940 124941
A 1 92430
A 99664 143781
B 155512 65463
A 1 178446
B 15632 15633
B 28863 104001
A 200000 54202
B 32166 32167
B 200000 124456
B 53205 64959
A 1 52288
B 1 3
A 112296 112297
B 3 199999
A 182912 73660
A 123258 156247
B 1 140587
A 176992 176993
B 73906 73907
A 1 195042
A 147092 4618
A 105368 188792
A 106596 31458
B 89725 110371
B 1525 1526
B 189552 189553
B 12829 198907
A 184215 184216
B 141614 185878
A 200000 93683
B 160912 160913
A 172857 174145
B 83768 83769
A 85187 119956
B 135263 135264
A 2027 125350
A 148110 148111
A 122396 49291
B 18171 18172
B 1 140529
A 55211 180016
A 106665 36179
A 180222 11762
B 65373 65374
B 110431 108160
B 186711 186712
B 17543 17544
A 34204 81912
B 172410 114020
B 166717 165745
A 166284 166285
B 29516 29517
B 200000 197942
A 99899 99900
A 146502 147340
A 174006 68340
A 160118 160119
A 133705 35127
A 21219 61400
B 36053 36054
B 153208 153209
A 35399 94020
A 159934 159935
B 200000 67752
A 21478 21655
A 128301 128302
A 136926 141362
B 39346 39347
B 200000 191691
B 143611 12721
A 80581 132756
A 1 51511
A 13690 13691
B 33409 33410
B 200000 173510
A 145736 145737
A 1 106620
A 79516 189901
B 53581 53582
A 52925 52926
B 1 171990
A 1 184399
A 68737 164224
A 200000 178828
B 138578 138579
B 117845 117846
A 139505 85392
B 146435 134802
A 52377 89644
A 86286 86287
A 1 6906
B 96791 82577
B 200000 39829
B 55164 132115
B 10061 10062
A 200000 124731
B 135337 21510
A 96890 96891
A 58278 58279
B 87812 87813
A 16370 16371
A 197256 74641
B 197140 140026
A 176252 143043
B 92892 155875
B 3 200000
B 200000 41784
A 147649 147650
B 95386 95387
B 111061 165686
A 1 168936
A 115179 115180
A 1 6986
B 37290 157139
B 198650 13322
B 77164 77165
B 139145 13800
B 141016 1345
B 77460 29401
B 160443 160444
A 2 200000
B 75869 16121
B 87195 86394
B 186796 186797
B 41757 41758
B 151239 67483
A 200000 55469
B 1 116154
A 82256 82257
A 141447 13542
B 27215 162965
A 174051 68216
A 134002 35165
A 1 7383
A 35329 105508
B 200000 184432
B 132380 132381
B 46731 68456
B 35200 182483
A 152826 152827
A 200000 54800
B 18672 18673
B 1 91201
B 172620 172621
B 159972 42200
A 2712 191919
A 111004 111005
B 21154 21155
B 1 67
B 186336 177151
A 96251 21056
B 74605 74606
B 200000 199198
A 189314 31962
A 66642 66643
B 200000 137410
A 85704 142135
A 171440 171441
A 191160 191161
B 114476 16410
A 44092 44093
B 1 123732
B 200000 142195
A 200000 110862
B 140626 140627
B 177454 177455
B 194636 94348
A 1 143994
B 38528 38529
A 95485 95486
A 20813 20814
A 23596 178083
A 186133 186134
B 65137 65138
A 200000 51892
A 80809 80810
A 177561 36946
B 37339 37340
A 44778 44779
B 151876 45699
B 88099 11239
A 189286 73959
B 29884 29885
A 133703 133704
B 191705 191706
B 99515 14675
A 69723 32796
B 1081 94929
A 99350 85069
B 1 177102
B 152746 152747
B 1 136365
A 39535 139792
A 57801 57802
A 60945 159010
B 139949 139950
B 112580 112581
B 135473 135474
B 109017 159174
A 200000 66291
B 1 83676
B 200000 109955
B 200000 112477
B 200000 109328
A 107438 144140
A 158648 41564
A 66161 163236
B 1 57201
A 157816 157817
B 119860 119861
B 61140 105064
A 165138 165139
B 50121 95761
B 185948 185949
B 57884 57885
A 172061 172062
A 200000 93886
B 18290 18291
B 43721 43722
A 153533 153534
B 1 192071
A 126188 89202
B 119099 177954
A 8044 12639
A 48340 191748
B 162941 162942
B 98361 192854
A 88650 88651
A 149343 187633
B 118591 118592
B 149204 149205
B 75468 64523
A 14259 52196
A 200000 19911
A 113594 126888
A 13376 189306
B 22395 156041
B 105686 48477
A 99164 164147
A 152950 152951
A 51536 51537
A 55405 55406
B 27390 119659
A 153575 153576
A 176545 182980
A 179457 58267
B 98073 98074
B 1 89194
A 1 195754
B 155677 18037
A 76373 89335
B 1 31848
B 184131 59508
B 99346 17979
B 1 20683
B 200000 141572
B 180865 145456
B 107706 107707
A 200000 33746
A 141466 154868
A 200000 52983
A 64674 64675
B 30372 30373
B 175634 60629
B 107077 107078
B 148168 41211
A 1 45657
A 134607 30575
B 97710 97711
A 69333 178625
A 1 98637
B 200000 78123
B 59692 87341
B 148168 106530
B 75581 75582
B 96064 87808
A 169397 169398
A 29892 106890
B 109962 109963
A 200000 624
B 115202 7540
A 96222 96223
A 19618 19619
A 42786 52239
A 128423 128424
B 1 190677
A 49487 49488
B 130519 130520
A 191426 191427
A 1 70710
A 1 53993
